a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
a,p,p,l,e
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
B,a,n,a,n,a
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
o,r,a,n,g,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
p,i,n,e,a,p,p,l,e
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
w,a,t,e,r,m,e,l,o,n
